id,user_id,short_code,original_url,title,is_active,created_at,updated_at
1,1,TnKwuS,https://opswise.net/ivory/pioneer/1,Alert feed beacon,False,2025-03-27 09:29:19,2025-08-28 20:08:06
2,6,BqJLDM,https://example.com/lively/beacon/2,Incident notes pioneer,True,2025-01-05 12:48:04,2025-05-29 01:29:03
3,31,i9X9Xs,https://hackstack.io/ivory/garden/3,Launch deck beacon,True,2025-07-29 14:11:39,2025-09-05 16:19:41
4,325,86JzDz,https://seeded.app/vivid/meadow/4,Demo link river,True,2025-11-30 11:55:18,2026-01-04 16:56:10
5,8,9pFweg,https://example.com/clear/beacon/5,Demo link beacon,False,2025-07-15 00:00:22,2025-07-26 01:45:21
6,310,Wz2f07,https://opswise.net/proud/river/6,Demo link engine,True,2025-07-03 10:38:45,2026-01-03 00:04:12
7,2,Oh0USc,https://relay.cloud/gold/engine/7,Campaign page harvest,True,2025-05-16 19:46:56,2025-11-28 23:58:46
8,301,XRrnmV,https://example.com/jade/yard/8,Service guide journey,True,2025-12-09 06:35:42,2025-12-10 17:23:27
9,184,1ZK3sI,https://example.com/vivid/valley/9,Status board journey,False,2025-07-09 05:54:46,2025-10-13 16:57:54
10,190,7Vn3oZ,https://example.com/calm/trail/10,Quarterly brief yard,True,2025-10-31 22:27:24,2026-01-02 00:46:53
11,176,vZiKww,https://hackstack.io/proud/journey/11,Status board window,True,2025-05-22 06:10:13,2026-01-02 00:26:26
12,95,L3f5Vd,https://acme.dev/silver/zenith/12,Status board valley,False,2025-09-15 15:48:55,2025-09-30 07:28:31
13,2,DwvT8C,https://example.com/mellow/canyon/13,Quarterly brief kernel,True,2025-01-16 07:41:22,2025-05-05 15:45:49
14,112,5RJ7h7,https://example.com/urban/meadow/14,Incident notes canyon,True,2025-10-14 01:40:58,2025-10-16 22:28:06
15,171,Grca8x,https://hackstack.io/keen/window/15,Quarterly brief network,True,2025-10-02 14:34:06,2026-01-08 02:50:02
16,296,o1XJ57,https://seeded.app/harbor/island/16,Quarterly brief window,True,2025-09-04 06:24:04,2025-10-12 17:24:15
17,366,UKL7rW,https://hackstack.io/silver/orbit/17,Campaign page kernel,True,2025-01-12 15:57:31,2025-02-10 08:46:42
18,77,B3fYfb,https://seeded.app/dawn/delta/18,Campaign page yard,True,2025-11-16 01:57:40,2025-11-24 05:50:42
19,95,jkVOFb,https://example.com/urban/quartz/19,Incident notes canyon,True,2025-10-02 03:47:57,2025-11-04 09:36:50
20,171,gkH6Di,https://hackstack.io/brisk/trail/20,Status board field,True,2025-09-16 04:51:45,2025-10-24 10:40:41
21,7,f2Djdt,https://seeded.app/urban/trail/21,Incident notes signal,True,2025-01-31 18:56:00,2025-05-06 22:56:03
22,355,qsx0g0,https://hackstack.io/dawn/journey/22,Demo link kernel,True,2025-03-15 13:03:05,2025-12-02 12:29:35
23,317,0kSeQo,https://acme.dev/silver/journey/23,Quarterly brief journey,True,2025-04-28 06:18:00,2025-06-05 01:48:52
24,251,EhiuyE,https://relay.cloud/opal/anchor/24,Status board beacon,False,2026-01-20 11:34:36,2026-02-10 23:21:45
25,230,jLjGzc,https://example.com/opal/anchor/25,Roadmap update island,True,2025-04-19 04:34:19,2026-02-09 00:14:32
26,294,Gtjpn1,https://hackstack.io/lively/quartz/26,Alert feed anchor,True,2026-01-04 15:30:33,2026-01-13 09:18:46
27,317,VFvJ7I,https://relay.cloud/forest/orbit/27,Roadmap update orbit,True,2025-07-18 17:45:56,2025-08-30 15:31:27
28,67,eEFWhE,https://relay.cloud/navy/river/28,Service guide anchor,False,2026-01-17 20:34:49,2026-01-23 09:21:42
29,256,QUexrv,https://seeded.app/navy/network/29,Campaign page field,True,2025-05-29 00:57:37,2026-01-19 09:12:13
30,252,hJUv6N,https://seeded.app/ember/network/30,Quarterly brief lagoon,True,2025-02-07 23:21:29,2025-08-22 03:06:00
31,174,DcWWvx,https://opswise.net/opal/island/31,Campaign page anchor,True,2025-07-15 10:49:16,2025-10-08 22:04:03
32,87,emU1SF,https://hackstack.io/harbor/journey/32,Alert feed field,True,2025-07-16 11:49:10,2025-08-03 09:24:46
33,193,KulcYz,https://opswise.net/urban/journey/33,Demo link anchor,True,2025-06-26 09:32:38,2025-09-20 17:00:11
34,143,5QpkKS,https://hackstack.io/urban/window/34,Quarterly brief uplink,True,2025-02-04 01:55:36,2026-01-28 20:19:34
35,142,tBICbW,https://example.com/silver/window/35,Service guide zenith,False,2025-02-24 23:57:03,2025-10-27 05:36:07
36,106,GPFQNH,https://relay.cloud/quiet/pioneer/36,Status board lagoon,False,2026-01-18 06:58:57,2026-02-13 09:04:13
37,140,0ynfry,https://hackstack.io/opal/garden/37,Campaign page canyon,True,2025-11-08 00:57:37,2025-12-19 12:08:25
38,394,1N1eQ5,https://seeded.app/keen/island/38,Ops review signal,True,2025-03-30 01:42:08,2025-09-04 17:29:09
39,154,NmGxo4,https://example.com/calm/beacon/39,Roadmap update delta,False,2025-10-14 01:54:29,2025-11-23 20:27:33
40,312,QQjee1,https://hackstack.io/gold/canyon/40,Roadmap update garden,True,2025-01-31 04:45:02,2025-07-05 20:42:03
41,140,VQjF6b,https://hackstack.io/proud/anchor/41,Ops review zenith,False,2025-06-13 09:03:08,2025-10-13 07:46:29
42,177,vgzGmZ,https://opswise.net/silver/canyon/42,Demo link quartz,True,2025-03-02 16:21:33,2025-11-08 10:14:13
43,252,2uVGAx,https://seeded.app/rapid/lagoon/43,Demo link island,True,2026-02-05 16:59:58,2026-02-09 09:49:05
44,240,kmKL56,https://hackstack.io/jade/engine/44,Campaign page river,True,2025-06-23 05:11:29,2025-12-19 22:32:59
45,318,NUGjLL,https://acme.dev/young/meadow/45,Campaign page garden,True,2025-04-10 23:37:33,2025-06-19 06:37:51
46,27,P3gh4e,https://hackstack.io/opal/canyon/46,Service guide canyon,True,2026-01-12 03:20:57,2026-02-02 10:00:30
47,49,rEakEP,https://relay.cloud/navy/zenith/47,Quarterly brief lagoon,True,2025-09-18 20:28:56,2025-10-17 10:54:03
48,170,RvJMPB,https://opswise.net/keen/river/48,Ops review garden,True,2025-03-29 10:28:28,2025-05-05 04:04:08
49,205,ed71pN,https://seeded.app/cobalt/valley/49,Demo link lagoon,True,2025-07-08 10:55:32,2025-11-07 06:48:12
50,350,uHwuzi,https://hackstack.io/forest/quartz/50,Launch deck quartz,True,2025-02-13 08:44:51,2025-05-24 20:15:28
51,21,FEu5wE,https://hackstack.io/rapid/pioneer/51,Demo link lagoon,True,2026-02-07 12:59:14,2026-02-12 02:17:34
52,94,4AvlYM,https://opswise.net/lively/network/52,Campaign page lagoon,False,2025-04-01 06:25:42,2025-11-13 19:31:22
53,78,4MB408,https://seeded.app/lively/harvest/53,Incident notes anchor,True,2025-03-29 14:55:30,2025-10-02 15:23:05
